label	i	c	o	span
x	vilazodone - treated	placebo	MADRS items of apparent sadness , reported sadness , inner tension , reduced sleep , and lassitude	A significantly greater proportion of vilazodone-treated versus placebo-treated patients shifted from baseline ≥ 4 to end of study ≤ 2 on MADRS items of apparent sadness, reported sadness, inner tension, reduced sleep, and lassitude (OR range, 1.5–2.0, P < .05).
gold	Vilazodone	Placebo	Abscense of anxious depression	a significantly greater proportion of vilazodone-treated versus placebo-treated patients shifted from anxious depression at baseline to no anxious depression at end of study (OR = 1.5, P = .031).
x	vilazodone - treated	placebo	no anxious depression	Additionally, a significantly greater proportion of vilazodone-treated versus placebo-treated patients shifted from anxious depression at baseline to no anxious depression at end of study (OR = 1.5, P = .031).
gold	Vilazodone	Placebo	Abscense of anxious depression	a significantly greater proportion of vilazodone-treated versus placebo-treated patients shifted from anxious depression at baseline to no anxious depression at end of study (OR = 1.5, P = .031).
x	vilazodone - treated	placebo	anxious depression	Additionally, a significantly greater proportion of vilazodone-treated versus placebo-treated patients shifted from anxious depression at baseline to no anxious depression at end of study (OR = 1.5, P = .031).
gold	Vilazodone	Placebo	Overall severity category shift from ≥ 4 to ≤ 2 	a significantly greater proportion of vilazodone-treated versus placebo-treated patients improved from baseline ≥ 4 (moderate to severe symptoms) to end of study ≤ 2 (mild to no symptoms)
x	vilazodone - treated	placebo	suicidal thoughts	On 5 of 9 evaluable MADRS single items (suicidal thoughts [item 10] was not evaluable due to low number of observations), a significantly greater proportion of vilazodone-treated versus placebo-treated patients improved from baseline ≥ 4 (moderate to severe symptoms) to end of study ≤ 2 (mild to no symptoms) (Figure 3).
gold	Bilastine updosing to 80 mg	placebo	histamine assessed 1–3 h after cold challenge 	Microdialysis levels of histamine, IL-6 and IL-8 assessed 1–3 h after cold challenge were significantly (P < 0.05) decreased following up-dosing with 80 mg bilastine.
c	bilastine	H1 - antihistamine , bilastine	Microdialysis levels of histamine , IL - 6 and IL - 8	Microdialysis levels of histamine, IL-6 and IL-8 assessed 1–3 h after cold challenge were significantly (P < 0.05) decreased following up-dosing with 80 mg bilastine.
gold	Bilastine updosing to 80 mg	placebo	IL-8 assessed 1–3 h after cold challenge 	However, up-dosing with 80 mg bilastine daily for 7 days caused a 34% (P = 0.026) reduction in IL-6 and a 37% (P = 0.004) reduction in IL-8 compared with when the patients were untreated.
c	bilastine	H1 - antihistamine	IL - 6	However, up-dosing with 80 mg bilastine daily for 7 days caused a 34% (P = 0.026) reduction in IL-6 and a 37% (P = 0.004) reduction in IL-8 compared with when the patients were untreated.
gold	Bilastine updosing to 80 mg	placebo	IL-8 assessed 1–3 h after cold challenge 	However, up-dosing with 80 mg bilastine daily for 7 days caused a 34% (P = 0.026) reduction in IL-6 and a 37% (P = 0.004) reduction in IL-8 compared with when the patients were untreated.
c	bilastine	H1 - antihistamine	IL - 8	However, up-dosing with 80 mg bilastine daily for 7 days caused a 34% (P = 0.026) reduction in IL-6 and a 37% (P = 0.004) reduction in IL-8 compared with when the patients were untreated.
gold	Lax-Asab powder	placebo	mean of weekly defecation frequency increase	The mean of weekly defecation frequency increased in both groups; from 1.8 ± 0.41 to 4.8 ± 1.12 times in patients who received Lax-Asab and from 1.7 ± 0.44 to 2.2 ± 0.61 times in patients who received placebo.
x	placebo	Lax - Asab	mean of weekly defecation frequency	The mean of weekly defecation frequency increased in both groups; from 1.8 ± 0.41 to 4.8 ± 1.12 times in patients who received Lax-Asab and from 1.7 ± 0.44 to 2.2 ± 0.61 times in patients who received placebo.
gold	Lax-Asab powder	placebo	Improvement in other measured outcomes concerning defecation difficulty	All the other measured outcomes concerning defecation difficulty were significantly improved in patients receiving Lax-Asab compared with placebo.
x	placebo .	Lax - Asab	defecation difficulty	All the other measured outcomes concerning defecation difficulty were significantly improved in patients receiving Lax-Asab compared with placebo.
gold	Lax-Asab powder	placebo	tolerability of treating patients with chronic functional constipation	Side effects were reported by three patients who received placebo and by seven who received Lax-Asab [odds ratio = 3.05; 95% confidence interval (0.65–14.13); p = 0.27].
x	placebo	Lax - Asab	Side effects	Side effects were reported by three patients who received placebo and by seven who received Lax-Asab [odds ratio = 3.05; 95% confidence interval (0.65–14.13); p = 0.27].
gold	Lax-Asab powder	placebo	efficacy of treating patients with chronic functional constipation	This study confirms the efficacy and tolerability of an Iranian herbal preparation, Lax-Asab, in treating patients with chronic functional constipation.
c	Iranian herbal preparation , Lax - Asab	Lax - Asab	efficacy and tolerability	This study confirms the efficacy and tolerability of an Iranian herbal preparation, Lax-Asab, in treating patients with chronic functional constipation.
gold	Extended-release oxcarbazepine 2400 mg	Control	Seizure median percent improvement in North America	both SPN-804 dosages were significantly superior to placebo in median percent seizure reduction (placebo: −13.3%; 1200 mg: −34.5%, P = 0.02; 2400 mg: −52.7%, P = 0.006) in the North American study site cluster
x	SPN - 804	placebo	percent seizure reduction	When data were analyzed separately for study site clusters, a post hoc analysis demonstrated that both SPN-804 dosages were significantly superior to placebo in median percent seizure reduction (placebo: −13.3%; 1200 mg: −34.5%, P = 0.02; 2400 mg: −52.7%, P = 0.006) in the North American study site cluster.
gold	Transcranial direct current stimulation (tDCS)	baseline	acute medication intake	Preventive treatment with anodal tDCS turned out to be beneficial in MoA: migraine attack frequency, migraine days, attack duration and acute medication intake significantly decreased during the treatment period compared to pre-treatment baseline (all p < 0.05), and this benefit persisted on average 4.8 weeks after the end of tDCS.
c	tDCS	tDCS	migraine attack frequency , migraine days , attack duration and acute medication intake	Preventive treatment with anodal tDCS turned out to be beneficial in MoA: migraine attack frequency, migraine days, attack duration and acute medication intake significantly decreased during the treatment period compared to pre-treatment baseline (all p < 0.05), and this benefit persisted on average 4.8 weeks after the end of tDCS.
gold	Ketamine + Risperidone	Placebo	Smooth pursuit eye movements velocity gain	In addition, the ketamine-treated groups showed worse performance on both SPEM velocity gain and saccadic frequency compared with placebo.
x	ketamine	placebo	SPEM velocity gain and saccadic frequency	In addition, the ketamine-treated groups showed worse performance on both SPEM velocity gain and saccadic frequency compared with placebo.
gold	Ketamine 	Placebo	Smooth pursuit saccadic frequency	Ketamine increased saccadic frequency and decreased velocity gain of SPEM (all P<0.01) but had no significant effects on PS or AS (all P⩾0.07).
c	Ketamine	Ketamine	velocity gain of SPEM	Ketamine increased saccadic frequency and decreased velocity gain of SPEM (all P<0.01) but had no significant effects on PS or AS (all P⩾0.07).
gold	Ketamine 	Placebo	Smooth pursuit saccadic frequency	Ketamine increased saccadic frequency and decreased velocity gain of SPEM (all P<0.01) but had no significant effects on PS or AS (all P⩾0.07).
c	Ketamine	Ketamine	PS or AS	Ketamine increased saccadic frequency and decreased velocity gain of SPEM (all P<0.01) but had no significant effects on PS or AS (all P⩾0.07).
gold	Ketamine 	Placebo	Smooth pursuit saccadic frequency	Ketamine increased saccadic frequency and decreased velocity gain of SPEM (all P<0.01) but had no significant effects on PS or AS (all P⩾0.07).
c	Ketamine	ketamine solution	saccadic frequency	Ketamine increased saccadic frequency and decreased velocity gain of SPEM (all P<0.01) but had no significant effects on PS or AS (all P⩾0.07).
gold	oxycodone (OXY) 60mg oral	placebo (PBO)	median Emax scores	median Emax scores were significantly higher with both doses of oxycodone compared with placebo (P < 0.0001 for both pairwise comparisons)
x	oxycodone	placebo	median Emax scores	scores of 85.8 ± 14.3 for oxycodone 30 mg, and 90.9 ± 11.5 for oxycodone 60 mg, which were 30–35 points higher than placebo, and median Emax scores were significantly higher with both doses of oxycodone compared with placebo (P < 0.0001 for both pairwise comparisons), demonstrating study validity (Table 2).
gold	oxycodone (OXY) 30mg oral	eluxadoline 100, 300, and 1000 mg	mean Emax scores	Mean Emax scores were between 25 and 35 points lower with eluxadoline compared with oxycodone, with median Emax scores being significantly higher for both doses of oxycodone compared with all eluxadoline doses (P < 0.0001 for all pairwise comparisons).
x	eluxadoline	oxycodone	median Emax scores	Mean Emax scores were between 25 and 35 points lower with eluxadoline compared with oxycodone, with median Emax scores being significantly higher for both doses of oxycodone compared with all eluxadoline doses (P < 0.0001 for all pairwise comparisons).
gold	oxycodone (OXY) 30mg oral	eluxadoline 100, 300, and 1000 mg	mean Emax scores	Mean Emax scores were between 25 and 35 points lower with eluxadoline compared with oxycodone, with median Emax scores being significantly higher for both doses of oxycodone compared with all eluxadoline doses (P < 0.0001 for all pairwise comparisons).
x	eluxadoline	oxycodone	Mean Emax scores	Mean Emax scores were between 25 and 35 points lower with eluxadoline compared with oxycodone, with median Emax scores being significantly higher for both doses of oxycodone compared with all eluxadoline doses (P < 0.0001 for all pairwise comparisons).
gold	oxycodone (OXY) intranasal	eluxadoline	median Emax scores	median Emax scores were significantly greater for both doses of oxycodone compared with both eluxadoline doses (P < 0.0001 for all pairwise comparisons).
x	eluxadoline	oxycodone	median Emax scores	Mean Emax scores were again 30–35 points higher for oxycodone than for eluxadoline, and median Emax scores were significantly greater for both doses of oxycodone compared with both eluxadoline doses (P < 0.0001 for all pairwise comparisons).
gold	oxycodone (OXY) intranasal	eluxadoline	median Emax scores	median Emax scores were significantly greater for both doses of oxycodone compared with both eluxadoline doses (P < 0.0001 for all pairwise comparisons).
x	eluxadoline	oxycodone	Mean Emax scores	Mean Emax scores were again 30–35 points higher for oxycodone than for eluxadoline, and median Emax scores were significantly greater for both doses of oxycodone compared with both eluxadoline doses (P < 0.0001 for all pairwise comparisons).
gold	abatacept	tocilizumab	treatment of RA (Rheumatoid arthritis) patients with a high disease activity at baseline	In patients with a high disease activity at baseline, the clinical efficacy of abatacept was similar to adalimumab and tocilizumab.
x	abatacept	tocilizumab .	clinical efficacy	In patients with a high disease activity at baseline, the clinical efficacy of abatacept was similar to adalimumab and tocilizumab.
gold	abatacept	tocilizumab	treatment of RA (Rheumatoid arthritis) patients with a high disease activity at baseline	In patients with a high disease activity at baseline, the clinical efficacy of abatacept was similar to adalimumab and tocilizumab.
x	abatacept	tocilizumab .	disease activity	In patients with a high disease activity at baseline, the clinical efficacy of abatacept was similar to adalimumab and tocilizumab.
gold	abatacept	tocilizumab	treatment of RA (Rheumatoid arthritis) patients with a high disease activity at baseline	In patients with a high disease activity at baseline, the clinical efficacy of abatacept was similar to adalimumab and tocilizumab.
x	abatacept	adalimumab	clinical efficacy	In patients with a high disease activity at baseline, the clinical efficacy of abatacept was similar to adalimumab and tocilizumab.
gold	abatacept	tocilizumab	treatment of RA (Rheumatoid arthritis) patients with a high disease activity at baseline	In patients with a high disease activity at baseline, the clinical efficacy of abatacept was similar to adalimumab and tocilizumab.
x	abatacept	adalimumab	disease activity	In patients with a high disease activity at baseline, the clinical efficacy of abatacept was similar to adalimumab and tocilizumab.
gold	abatacept	tocilizumab	treatment of RA (Rheumatoid arthritis) patients with a high disease activity at baseline	In patients with a high disease activity at baseline, the clinical efficacy of abatacept was similar to adalimumab and tocilizumab.
x	tocilizumab .	adalimumab	clinical efficacy	In patients with a high disease activity at baseline, the clinical efficacy of abatacept was similar to adalimumab and tocilizumab.
gold	abatacept	tocilizumab	treatment of RA (Rheumatoid arthritis) patients with a high disease activity at baseline	In patients with a high disease activity at baseline, the clinical efficacy of abatacept was similar to adalimumab and tocilizumab.
x	tocilizumab .	adalimumab	disease activity	In patients with a high disease activity at baseline, the clinical efficacy of abatacept was similar to adalimumab and tocilizumab.
gold	Laparoscopic hysterectomy	Abdominal hysterectom	Hospital stay	he duration of the postoperative hospital stay for the patients who underwent laparoscopic hysterectomy was 5.6 ± 0.5 days as compared to 7.9 ± 0.2 days for the patients who underwent abdominal hysterectomy (P < 0.05).
x	laparoscopic hysterectomy	abdominal hysterectomy	duration of the postoperative hospital stay	The duration of the postoperative hospital stay for the patients who underwent laparoscopic hysterectomy was 5.6 ± 0.5 days as compared to 7.9 ± 0.2 days for the patients who underwent abdominal hysterectomy (P < 0.05).
gold	Laparoscopic hysterectomy	Abdominal hysterectom	C-reactive protein 	The mean CRP concentration at 24 hr postoperatively was 10.8 mg/L in the patients who underwent laparoscopic hysterectomy as compared to that of the patients who underwent abdominal hysterectomy (39.5 mg/L) (P < 0.05)
x	laparoscopic hysterectomy	abdominal hysterectomy	mean CRP concentration	The mean CRP concentration at 24 hr postoperatively was 10.8 mg/L in the patients who underwent laparoscopic hysterectomy as compared to that of the patients who underwent abdominal hysterectomy (39.5 mg/L) (P < 0.05) and there was correlation with between the cytokine and CRP levels (Pearson correlation coefficient r = 0.796; P < 0.05).
gold	Laparoscopic hysterectomy	Abdominal hysterectom	C-reactive protein 	The mean CRP concentration at 24 hr postoperatively was 10.8 mg/L in the patients who underwent laparoscopic hysterectomy as compared to that of the patients who underwent abdominal hysterectomy (39.5 mg/L) (P < 0.05)
x	laparoscopic hysterectomy	abdominal hysterectomy	cytokine and CRP levels	The mean CRP concentration at 24 hr postoperatively was 10.8 mg/L in the patients who underwent laparoscopic hysterectomy as compared to that of the patients who underwent abdominal hysterectomy (39.5 mg/L) (P < 0.05) and there was correlation with between the cytokine and CRP levels (Pearson correlation coefficient r = 0.796; P < 0.05).
gold	Laparoscopic hysterectomy	Abdominal hysterectom	IL-6 levels 	The peak serum IL-6 (P < 0.05) and CRP concentrations were significantly less increased in the laparoscopic group as compared with that of the abdominal hysterectomy group (P < 0.05)
c	abdominal hysterectomy	abdominal hysterectomy	CRP concentrations	The peak serum IL-6 (P < 0.05) and CRP concentrations were significantly less increased in the laparoscopic group as compared with that of the abdominal hysterectomy group (P < 0.05), while the serum cortisol concentration showed a similar time course and changes and there were no significant difference between the groups.
gold	Laparoscopic hysterectomy	Abdominal hysterectom	IL-6 levels 	The peak serum IL-6 (P < 0.05) and CRP concentrations were significantly less increased in the laparoscopic group as compared with that of the abdominal hysterectomy group (P < 0.05)
c	abdominal hysterectomy	abdominal hysterectomy	peak serum IL - 6	The peak serum IL-6 (P < 0.05) and CRP concentrations were significantly less increased in the laparoscopic group as compared with that of the abdominal hysterectomy group (P < 0.05), while the serum cortisol concentration showed a similar time course and changes and there were no significant difference between the groups.
gold	Laparoscopic hysterectomy	Abdominal hysterectom	IL-6 levels 	The peak serum IL-6 (P < 0.05) and CRP concentrations were significantly less increased in the laparoscopic group as compared with that of the abdominal hysterectomy group (P < 0.05)
i	laparoscopic hysterectomy	abdominal hysterectomy	serum cortisol concentration	The peak serum IL-6 (P < 0.05) and CRP concentrations were significantly less increased in the laparoscopic group as compared with that of the abdominal hysterectomy group (P < 0.05), while the serum cortisol concentration showed a similar time course and changes and there were no significant difference between the groups.
gold	Combining nateglinide + vildagliptin	Switching from nateglinide to vildagliptin	Postprandial glucose	The addition of vildagliptin to nateglinide significantly reduced glucose levels at 15, 30, 60, 120 and 180 min compared with switching from nateglinide to vildagliptin (8.4 and 10.0 at 15 min, P < 0.01; 9.0 and 11.5 at 30 min, P < 0.001; 9.8 and 13.4 at 60 min
x	nateglinide to vildagliptin	vildagliptin to nateglinide	glucose levels	The addition of vildagliptin to nateglinide significantly reduced glucose levels at 15, 30, 60, 120 and 180 min compared with switching from nateglinide to vildagliptin (8.4 and 10.0 at 15 min, P < 0.01; 9.0 and 11.5 at 30 min, P < 0.001; 9.8 and 13.4 at 60 min, P < 0.001; 8.4 and 11.2 at 120 min, P < 0.001; 6.4 and 8.4 mmol/L at 180 min, P < 0.01, respectively; Figure 3a).
gold	single real session biparietal tDCS	single sham session combined with neglect therapy	alertness	After the single sham session combined with neglect therapy alertness worsened significantly (intrinsic: T = 39, p < 0.001; phasic: T = 38, p < 0.001), whereas after the single real session, alertness improved significantly (intrinsic: T = 45, p = 0.008; phasic: T = 49, p < 0.001)
c	neglect therapy	neglect therapy	alertness	After the single sham session combined with neglect therapy alertness worsened significantly (intrinsic: T = 39, p < 0.001; phasic: T = 38, p < 0.001), whereas after the single real session, alertness improved significantly (intrinsic: T = 45, p = 0.008; phasic: T = 49, p < 0.001).
gold	Mobile phone intervention	Standard care	Tetanus vaccination	In the intervention group 72% of nullipara women received two doses of tetanus vaccination versus 56% in the control group (OR, 1.62; 95% CI, 0.81-3.26)
o	preventive malaria treatment	tetanus vaccination	number of women receiving anti - tetanus vaccinations , preventive treatment for malaria , gestational age at last antenatal care visit , antepartum referrals and the timing of the mentioned services in gestational age	In the intervention group 72% of nullipara women received two doses of tetanus vaccination versus 56% in the control group (OR, 1.62; 95% CI, 0.81-3.26) and 65% received two doses of preventive malaria treatment versus 52% in the control group (OR, 1.97; 95% CI, 0.98-3.94).
gold	Tofacitinib 10 mg	Placebo	Inflammatory Bowel Disease Questionnaire improvement (Induction 1)	In both OCTAVE Induction 1 and 2, treatment with tofacitinib 10 mg BID resulted in statistically significant improvements from baseline in mean IBDQ total score versus placebo at Week 4 and Week 8 [p < 0.0001 for all comparisons;
x	tofacitinib	placebo	mean IBDQ total score	In both OCTAVE Induction 1 and 2, treatment with tofacitinib 10 mg BID resulted in statistically significant improvements from baseline in mean IBDQ total score versus placebo at Week 4 and Week 8 [p < 0.0001 for all comparisons; Figure 1A and B].
gold	Tofacitinib 5 mg	Placebo	IBDQ least squares mean changes from baseline 	Statistically significant [p < 0.01 for all comparisons at Week 4 and Week 8] improvements in mean changes from baseline in all four IBDQ domain scores were seen with tofacitinib 10 mg BID versus placebo
x	tofacitinib	placebo	IBDQ domain scores	Statistically significant [p < 0.01 for all comparisons at Week 4 and Week 8] improvements in mean changes from baseline in all four IBDQ domain scores were seen with tofacitinib 10 mg BID versus placebo in both OCTAVE Induction 1 and 2 [Table 2].
gold	Tofacitinib 10 mg	Placebo	IBDQ least squares mean changes from baseline 	LS mean changes from baseline in IBDQ total score were maintained [with respect to baseline of OCTAVE Sustain] with tofacitinib 5 mg BID and tofacitinib 10 mg BID compared with placebo at all time points [p < 0.0001 for all comparisons
x	tofacitinib	placebo	IBDQ total score	LS mean changes from baseline in IBDQ total score were maintained [with respect to baseline of OCTAVE Sustain] with tofacitinib 5 mg BID and tofacitinib 10 mg BID compared with placebo at all time points [p < 0.0001 for all comparisons; Figure 1C].
gold	Tofacitinib 10 mg	Placebo	Remission 	This IBDQ remission was maintained by significantly greater proportions of patients receiving either dose of tofacitinib versus placebo throughout OCTAVE Sustain [p < 0.0001 for all comparisons].2
x	tofacitinib	placebo	IBDQ response	This IBDQ remission was maintained by significantly greater proportions of patients receiving either dose of tofacitinib versus placebo throughout OCTAVE Sustain [p < 0.0001 for all comparisons].25 At baseline of OCTAVE Sustain, 81.3% [n/N = 161/198] of patients in the placebo group, 82.3% [163/198] of patients in the tofacitinib 5 mg BID group, and 84.3% [166/197] of patients in the tofacitinib 10 mg BID group had IBDQ response [with respect to induction study baseline].
gold	Tofacitinib 10 mg	Placebo	Remission 	This IBDQ remission was maintained by significantly greater proportions of patients receiving either dose of tofacitinib versus placebo throughout OCTAVE Sustain [p < 0.0001 for all comparisons].2
x	tofacitinib	placebo	IBDQ remission	This IBDQ remission was maintained by significantly greater proportions of patients receiving either dose of tofacitinib versus placebo throughout OCTAVE Sustain [p < 0.0001 for all comparisons].25 At baseline of OCTAVE Sustain, 81.3% [n/N = 161/198] of patients in the placebo group, 82.3% [163/198] of patients in the tofacitinib 5 mg BID group, and 84.3% [166/197] of patients in the tofacitinib 10 mg BID group had IBDQ response [with respect to induction study baseline].
gold	DNA prime-rAd5 boost vaccine	Control	HIV-specific antibody response	We found that the DNA prime-rAd5 boost vaccine induced a significant cross-clade HIV-specific antibody response, which correlated with antibody neutralization efficiency.
c	DNA prime - rAd5 boost vaccine	DNA prime - rAd5 boost	cross - clade HIV - specific antibody response	We found that the DNA prime-rAd5 boost vaccine induced a significant cross-clade HIV-specific antibody response, which correlated with antibody neutralization efficiency.
gold	Risedronate 5 mg	Placebo	Hip fracture frequency	After 3 years, hip fracture had occurred in 3.8% of risedronate-treated patients and 7.4% of placebo-treated patients (relative risk 0.54; 95% confidence interval 0.32–0.91; P = 0.019).
x	placebo	risedronate	hip fracture	After 3 years, hip fracture had occurred in 3.8% of risedronate-treated patients and 7.4% of placebo-treated patients (relative risk 0.54; 95% confidence interval 0.32–0.91; P = 0.019).
gold	Risedronate 5 mg	Placebo	Hip fracture frequency	Compared with placebo, risedronate 2.5 mg or 5.0 mg once daily reduced the risk of hip fracture by 46% (relative risk [RR] 0.54; 95% CI 0.32–0.91; P = 0.019)
x	risedronate	placebo	risk of hip fracture	Compared with placebo, risedronate 2.5 mg or 5.0 mg once daily reduced the risk of hip fracture by 46% (relative risk [RR] 0.54; 95% CI 0.32–0.91; P = 0.019) in women aged 70–100 years with established osteoporosis (Table 3).3 This was a numerical larger risk reduction than that found in the overall ITT population from the HIP study (RR 0.7; 95% CI 0.6–0.9; P = 0.02) (Table 3).
gold	SRIs (clomipramine and paroxetine)	placebo	oxytocin levels	During treatment, plasma oxytocin did not differ between SRI and placebo treatment.
c	placebo	selective serotonin reuptake inhibitors ( SSRI	plasma oxytocin	During treatment, plasma oxytocin did not differ between SRI and placebo treatment.
gold	cohort A, hCG application was performed two days before blastocyst transfer, 	cohort B, the administration of hCG occurred just prior to embryo transfer on day 5	pregnancy rates (PR), clinical pregnancy rates (cPR), miscarriage rates (MR), and live birth rates (LBR)	No statistically significant differences in PR (31.7 % vs. 29.5 %, respectively), cPR (19.5 % vs. 20.5 %, respectively), LBR (17.1 % vs. 18.2 %, respectively), and MR (2.4 % vs. 2.3 %, respectively) were found after intrauterine hCG vs. medium injection.
c	hCG	uterine injection of embryo culture medium	cPR	No statistically significant differences in PR (31.7 % vs. 29.5 %, respectively), cPR (19.5 % vs. 20.5 %, respectively), LBR (17.1 % vs. 18.2 %, respectively), and MR (2.4 % vs. 2.3 %, respectively) were found after intrauterine hCG vs. medium injection.
gold	cohort A, hCG application was performed two days before blastocyst transfer, 	cohort B, the administration of hCG occurred just prior to embryo transfer on day 5	pregnancy rates (PR), clinical pregnancy rates (cPR), miscarriage rates (MR), and live birth rates (LBR)	No statistically significant differences in PR (31.7 % vs. 29.5 %, respectively), cPR (19.5 % vs. 20.5 %, respectively), LBR (17.1 % vs. 18.2 %, respectively), and MR (2.4 % vs. 2.3 %, respectively) were found after intrauterine hCG vs. medium injection.
c	hCG	uterine injection of embryo culture medium	LBR	No statistically significant differences in PR (31.7 % vs. 29.5 %, respectively), cPR (19.5 % vs. 20.5 %, respectively), LBR (17.1 % vs. 18.2 %, respectively), and MR (2.4 % vs. 2.3 %, respectively) were found after intrauterine hCG vs. medium injection.
gold	cohort A, hCG application was performed two days before blastocyst transfer, 	cohort B, the administration of hCG occurred just prior to embryo transfer on day 5	pregnancy rates (PR), clinical pregnancy rates (cPR), miscarriage rates (MR), and live birth rates (LBR)	No statistically significant differences in PR (31.7 % vs. 29.5 %, respectively), cPR (19.5 % vs. 20.5 %, respectively), LBR (17.1 % vs. 18.2 %, respectively), and MR (2.4 % vs. 2.3 %, respectively) were found after intrauterine hCG vs. medium injection.
c	hCG	uterine injection of embryo culture medium	MR	No statistically significant differences in PR (31.7 % vs. 29.5 %, respectively), cPR (19.5 % vs. 20.5 %, respectively), LBR (17.1 % vs. 18.2 %, respectively), and MR (2.4 % vs. 2.3 %, respectively) were found after intrauterine hCG vs. medium injection.
gold	cohort A, hCG application was performed two days before blastocyst transfer, 	cohort B, the administration of hCG occurred just prior to embryo transfer on day 5	pregnancy rates (PR), clinical pregnancy rates (cPR), miscarriage rates (MR), and live birth rates (LBR)	No statistically significant differences in PR (31.7 % vs. 29.5 %, respectively), cPR (19.5 % vs. 20.5 %, respectively), LBR (17.1 % vs. 18.2 %, respectively), and MR (2.4 % vs. 2.3 %, respectively) were found after intrauterine hCG vs. medium injection.
c	hCG	uterine injection of embryo culture medium	PR	No statistically significant differences in PR (31.7 % vs. 29.5 %, respectively), cPR (19.5 % vs. 20.5 %, respectively), LBR (17.1 % vs. 18.2 %, respectively), and MR (2.4 % vs. 2.3 %, respectively) were found after intrauterine hCG vs. medium injection.
gold	cohort A, hCG application was performed two days before blastocyst transfer, 	cohort B, the administration of hCG occurred just prior to embryo transfer on day 5	pregnancy rates (PR), clinical pregnancy rates (cPR), miscarriage rates (MR), and live birth rates (LBR)	No statistically significant differences were observed in PR (43.1 % vs. 48.7 %, respectively), LBR (28.7 % vs. 35.0 %, respectively), and MR (4.4 % vs. 5.9 %, respectively) after injection with hCG vs. medium.
c	hCG	injection with medium	LBR	No statistically significant differences were observed in PR (43.1 % vs. 48.7 %, respectively), LBR (28.7 % vs. 35.0 %, respectively), and MR (4.4 % vs. 5.9 %, respectively) after injection with hCG vs. medium.
gold	cohort A, hCG application was performed two days before blastocyst transfer, 	cohort B, the administration of hCG occurred just prior to embryo transfer on day 5	pregnancy rates (PR), clinical pregnancy rates (cPR), miscarriage rates (MR), and live birth rates (LBR)	No statistically significant differences were observed in PR (43.1 % vs. 48.7 %, respectively), LBR (28.7 % vs. 35.0 %, respectively), and MR (4.4 % vs. 5.9 %, respectively) after injection with hCG vs. medium.
c	hCG	injection with medium	MR	No statistically significant differences were observed in PR (43.1 % vs. 48.7 %, respectively), LBR (28.7 % vs. 35.0 %, respectively), and MR (4.4 % vs. 5.9 %, respectively) after injection with hCG vs. medium.
gold	cohort A, hCG application was performed two days before blastocyst transfer, 	cohort B, the administration of hCG occurred just prior to embryo transfer on day 5	pregnancy rates (PR), clinical pregnancy rates (cPR), miscarriage rates (MR), and live birth rates (LBR)	No statistically significant differences were observed in PR (43.1 % vs. 48.7 %, respectively), LBR (28.7 % vs. 35.0 %, respectively), and MR (4.4 % vs. 5.9 %, respectively) after injection with hCG vs. medium.
c	hCG	injection with medium	PR	No statistically significant differences were observed in PR (43.1 % vs. 48.7 %, respectively), LBR (28.7 % vs. 35.0 %, respectively), and MR (4.4 % vs. 5.9 %, respectively) after injection with hCG vs. medium.
gold	Tenofovir/emtricitabine (TDF/FTC)	Abacavir/lamivudine (ABC/3TC) 	Hip bone mass density at weeks 24 and 48	In TDF/FTC-treated patients we observed significant reductions from baseline in hip and lumbar spine BMD at week 24 (−1.8% and −2.5%) and week 48 (−2.1% and −2.1%), whereas BMD was stable in patients in the ABC/3TC arm.
c	TDF / FTC	TDF	hip and lumbar spine BMD	In TDF/FTC-treated patients we observed significant reductions from baseline in hip and lumbar spine BMD at week 24 (−1.8% and −2.5%) and week 48 (−2.1% and −2.1%), whereas BMD was stable in patients in the ABC/3TC arm.
gold	Tenofovir/emtricitabine (TDF/FTC)	Abacavir/lamivudine (ABC/3TC) 	Hip bone mass density at weeks 24 and 48	In TDF/FTC-treated patients we observed significant reductions from baseline in hip and lumbar spine BMD at week 24 (−1.8% and −2.5%) and week 48 (−2.1% and −2.1%), whereas BMD was stable in patients in the ABC/3TC arm.
c	TDF / FTC	TDF	BMD	In TDF/FTC-treated patients we observed significant reductions from baseline in hip and lumbar spine BMD at week 24 (−1.8% and −2.5%) and week 48 (−2.1% and −2.1%), whereas BMD was stable in patients in the ABC/3TC arm.
gold	Tenofovir/emtricitabine (TDF/FTC)	Abacavir/lamivudine (ABC/3TC) 	Bone turnover biomarkers (except osteoprotegerin)	All bone turnover biomarkers except osteoprotegerin increased in the TDF/FTC arm compared with the ABC/3TC arm
c	TDF / FTC	TDF	BMD .	All bone turnover biomarkers except osteoprotegerin increased in the TDF/FTC arm compared with the ABC/3TC arm, but early changes did not predict subsequent loss of BMD.
gold	Tenofovir/emtricitabine (TDF/FTC)	Abacavir/lamivudine (ABC/3TC) 	Bone turnover biomarkers (except osteoprotegerin)	All bone turnover biomarkers except osteoprotegerin increased in the TDF/FTC arm compared with the ABC/3TC arm
c	TDF / FTC	TDF	bone turnover biomarkers except osteoprotegerin	All bone turnover biomarkers except osteoprotegerin increased in the TDF/FTC arm compared with the ABC/3TC arm, but early changes did not predict subsequent loss of BMD.
